year,month,day,weekday,carrier,origin,destination,arrivaldelay,departuredelay,weatherdelay,distance
1992,8,10,1,WN,STL,MDW,2,12,10,53
1992,8,28,5,AA,FAY,GSO,2,0,0,39
2006,10,19,4,YV,SAV,IAD,1,0,0,101
2004,8,1,7,WN,SDF,TPA,1,0,0,120
1993,2,8,1,TW,MSY,ATL,2,0,3,86
1994,7,29,5,HP,SLC,LAS,2,0,8,82
1993,1,25,1,UA,LNK,DEN,1,11,3,76
2008,1,10,4,MQ,CMI,ORD,1,9,5,56
1999,12,14,2,US,PIT,ATL,3,33,33,107
2000,4,30,7,AA,DFW,CLE,3,1,5,166
1991,7,10,3,CO,DEN,OMA,2,0,8,101
1989,3,19,7,EA,MIA,BWI,2,0,0,143
2004,2,14,6,AA,LGA,TPA,1,1,31,205
1996,6,10,1,US,PHL,DCA,3,7,12,55
1992,10,26,1,WN,LAX,OAK,2,5,0,60
1988,5,13,5,PI,RDU,BWI,1,0,0,60
1997,12,26,5,WN,BNA,MCI,2,26,34,108
2001,7,1,7,WN,ISP,BNA,2,0,6,141
1989,9,20,3,EA,ORD,ATL,2,0,9,117
1988,9,2,5,DL,PBI,MCO,3,0,6,53
1992,5,1,5,DL,ATL,LGA,1,3,18,149
1992,8,28,5,AA,SDF,DFW,2,18,18,126
1990,10,22,1,CO,DCA,EWR,2,0,5,76
1994,10,3,1,CO,IAH,LAX,1,2,11,210
1993,3,4,4,UA,DEN,LGA,3,0,0,207
2006,12,15,5,XE,EWR,BDL,2,127,129,53
2003,10,16,4,OO,SAN,LAX,3,0,2,45
2006,8,24,4,WN,HOU,MSY,2,36,30,59
2004,12,5,7,OO,VCT,IAH,1,24,24,54
1988,4,14,4,EA,ATL,CAE,3,25,25,53
1993,1,31,7,AA,SJU,MIA,2,1,2,163
1989,11,14,2,DL,FAI,ANC,2,15,15,52
2000,1,25,2,AS,GEG,SEA,2,35,31,54
1992,12,31,4,TW,MCO,JFK,2,10,3,141
2007,8,28,2,UA,OMA,DEN,3,0,0,97
1991,12,21,6,US,RIC,LGA,1,4,0,67
1997,12,22,1,DL,ATL,PIT,1,9,1,87
1992,12,17,4,US,BUF,BWI,1,1,21,84
1989,10,17,2,AS,PDX,PHX,2,8,6,138
1996,3,14,4,CO,LAX,IAH,2,48,31,168
2000,6,15,4,US,IAD,MDW,3,0,0,119
2000,1,25,2,DL,SLC,ORD,2,0,3,178
1995,4,28,5,TW,TUL,STL,2,0,14,92
1994,9,21,3,UA,DTW,ORD,1,1,0,61
1992,10,8,4,UA,LAX,PDX,2,1,2,138
2003,1,12,7,OO,FAT,VIS,2,0,0,23
1991,8,25,7,AA,LAX,ORD,0,5,9,229
2006,11,27,1,WN,HOU,STL,3,71,62,106
1993,11,27,6,NW,MSP,LAX,3,3,10,247
1992,7,9,4,WN,PHX,HOU,2,0,6,146
1995,8,21,1,AA,ORD,BDL,2,11,2,109
1988,12,6,2,DL,SLC,MSO,2,0,24,101
2000,8,17,4,UA,DEN,DSM,1,14,21,95
2003,2,26,3,CO,IAH,LGA,2,5,5,212
2001,5,6,7,NW,TPA,MEM,3,0,3,120
1988,3,27,7,AA,ORD,FWA,2,25,20,44
1999,11,24,3,DL,ATL,DEN,1,19,14,193
1997,7,12,6,AS,SEA,PHX,3,22,8,148
1989,7,23,7,HP,COS,ICT,0,5,7,67
2005,2,3,4,DL,ATL,CLT,3,47,41,57
1993,9,24,5,AS,SAN,LAX,2,15,36,64
2008,1,9,3,UA,DEN,PDX,2,65,86,189
2003,7,30,3,AA,MIA,SFO,3,35,13,328
1995,12,10,7,US,ROC,PIT,3,12,6,50
1994,9,7,3,UA,SFO,DEN,2,6,17,158
1996,1,20,6,WN,SLC,RNO,1,13,14,86
2005,6,29,3,FL,ATL,RDU,2,3,3,78
2002,4,20,6,WN,MCO,BDL,2,24,11,147
2006,12,6,3,OH,JFK,DCA,2,0,1,93
2008,1,5,6,US,LAS,RNO,2,22,47,116
2004,12,1,3,XE,EWR,HSV,3,33,70,202
1995,7,30,7,UA,DEN,ABQ,3,19,26,79
1987,11,4,3,AS,SEA,ONT,3,0,27,172
2005,3,27,7,NW,OGG,HNL,3,8,11,47
2002,3,24,7,WN,MCI,MCO,2,18,17,149
1990,2,3,6,DL,DFW,DEN,1,0,1,116
1998,10,23,5,DL,ATL,LGA,1,26,32,126
1996,12,4,3,CO,PHL,CLE,1,0,0,85
1988,3,22,2,PI,ORD,RIC,3,0,11,116
1993,1,18,1,CO,EWR,FLL,1,0,12,203
1988,1,8,5,EA,ATL,BHM,3,0,0,48
2001,9,13,4,CO,EWR,DFW,1,0,0,226
2006,6,27,2,OH,CAK,CVG,2,0,1,62
1996,12,1,7,AA,DFW,PHX,0,18,14,150
1997,3,20,4,DL,SLC,ATL,2,103,102,205
1989,9,1,5,AA,PIT,ORD,3,39,55,105
1988,5,28,6,DL,DFW,SAT,1,6,0,50
2001,9,9,7,CO,EWR,LAX,3,46,45,379
2005,8,7,7,MQ,DFW,CRP,2,0,85,165
2004,10,14,4,MQ,ORD,FSD,2,43,36,94
2003,11,17,1,TZ,MDW,LGA,1,196,192,121
2006,10,18,3,WN,PHX,OMA,2,27,7,120
1998,4,9,4,WN,LAS,SLC,1,0,10,80
1999,12,16,4,UA,EWR,ORD,2,37,30,136
1991,6,6,4,US,LAX,MCO,2,7,9,292
1995,9,20,3,AA,DFW,ATL,3,22,12,122
1999,10,7,4,AA,LAX,SJC,0,0,1,59
1997,1,17,5,UA,DEN,STL,2,26,14,110
1996,8,5,1,DL,ATL,PHX,3,124,112,214
1996,5,2,4,US,MKE,PIT,3,14,12,78
1994,1,12,3,AA,PHX,DFW,2,33,35,144
2008,3,26,3,WN,BNA,MDW,3,5,10,85
1993,5,12,3,AS,SEA,PDX,3,0,0,46
2004,3,15,1,HP,LAS,FLL,0,11,10,264
2001,1,3,3,DL,ALB,CVG,3,5,0,125
1990,6,12,2,CO,SAN,DEN,2,0,2,130
1988,10,2,7,WN,ABQ,PHX,1,0,3,73
2006,8,1,2,EV,ATL,ROC,2,36,127,217
1989,3,20,1,UA,ORD,SAN,1,0,3,253
2007,11,9,5,AA,ONT,DFW,1,20,19,169
1992,1,18,6,DL,TUS,DFW,2,60,62,123
1999,10,20,3,WN,LAS,RNO,3,20,11,61
2003,10,5,7,WN,MDW,CLE,1,5,4,64
1997,11,24,1,US,PHL,GSO,3,9,4,73
1989,8,27,7,US,ROC,LGA,2,169,163,57
1989,7,19,3,DL,MGM,BTR,0,70,71,53
2000,1,29,6,TW,PHX,STL,1,25,31,186
1990,11,30,5,TW,STL,PHL,2,0,19,134
1992,11,13,5,US,ROC,PHL,2,5,3,67
2001,3,21,3,US,PIT,MSY,2,53,48,156
1992,6,25,4,US,BDL,DCA,2,1,21,89
1999,5,14,5,US,IAD,CLT,1,0,5,84
1999,7,22,4,AS,SAN,SEA,1,16,41,185
1994,7,17,7,WN,SAT,PHX,2,10,0,120
1996,6,5,3,AA,DFW,AUS,2,8,2,51
1988,12,29,4,US,SAT,AUS,2,0,2,31
2005,4,12,2,NW,MSP,MHT,2,6,40,187
2005,2,1,2,UA,SEA,ORD,2,108,122,239
1996,10,2,3,DL,LAS,ATL,2,16,22,232
1988,2,4,4,DL,ATL,MCO,0,51,47,69
1990,4,25,3,DL,ATL,RDU,3,1,0,77
1997,1,22,3,TW,STL,LGA,2,0,9,161
2008,7,20,7,UA,ORD,EWR,3,59,47,118
1999,8,8,7,US,MCO,BDL,2,84,89,166
1990,3,20,2,TW,ATL,STL,3,0,0,100
2005,4,7,4,MQ,ORD,EVV,3,27,37,75
2000,2,9,3,US,ATL,BWI,2,1,7,107
2006,5,11,4,EV,ATL,CHO,1,5,21,107
2001,2,6,2,UA,LAX,OGG,2,3,18,356
2000,4,21,5,UA,SBA,SFO,1,116,113,57
1991,3,9,6,PA (1),TPA,MIA,3,0,4,60
1999,2,28,7,US,CLT,BWI,2,14,21,84
1999,4,10,6,TW,LIT,STL,1,6,1,66
2002,7,12,5,AA,SJC,DEN,1,0,0,152
2006,1,3,2,XE,IAH,GPT,2,4,3,79
2000,1,20,4,CO,IAH,SAT,3,52,57,56
2005,5,10,2,US,PHL,TPA,3,46,61,180
1992,4,21,2,DL,EWR,DFW,1,2,27,234
2006,1,22,7,B6,JFK,BUR,1,0,14,389
2004,1,30,5,XE,MEM,CLE,1,0,3,110
1997,11,26,3,UA,ORD,MEM,1,6,5,91
2008,9,9,2,US,ORD,PHL,2,24,35,136
1993,12,6,1,HP,PHX,PDX,1,0,12,180
1988,11,17,4,WN,ELP,ABQ,2,44,41,47
1997,7,6,7,US,PIT,SFO,3,63,53,309
2007,6,19,2,WN,SAN,PHX,3,81,76,65
1991,12,30,1,CO,EWR,IAH,1,1,5,239
1998,5,29,5,US,PIT,CLT,3,0,0,81
2008,10,25,6,WN,PHL,STL,2,14,58,194
1989,7,9,7,UA,LAX,EWR,2,9,5,305
2007,7,19,4,YV,BNA,IAD,1,122,97,91
1989,5,26,5,DL,FAT,RNO,1,0,0,39
1989,12,21,4,TW,STL,TUL,0,138,141,79
1993,2,27,6,DL,ATL,GSP,1,1,3,46
1991,4,13,6,UA,ORD,SMF,1,27,13,262
2007,8,20,1,NW,MSP,LGA,1,9,16,164
1995,6,26,1,DL,DCA,LGA,3,10,13,63
2005,5,27,5,MQ,ORD,LSE,2,9,4,59
1994,8,14,7,US,PIT,AVP,2,17,31,68
1995,9,14,4,AA,JFK,SJU,2,1,2,218
1990,6,19,2,HP,LAS,SEA,2,7,10,143
2003,11,27,4,OO,SMF,SFO,1,5,0,38
1988,8,20,6,AA,ORF,RDU,3,1,3,52
1989,3,9,4,UA,SFO,LAS,2,216,208,80
1990,7,13,5,HP,LAS,BFL,2,0,7,85
1996,3,30,6,AS,JNU,SEA,2,9,0,126
1991,12,12,4,UA,ORD,BDL,2,6,17,137
1999,6,7,1,DL,ATL,LAX,3,114,106,268
1991,10,2,3,AA,MIA,ATL,3,0,32,161
2001,2,11,7,MQ,PSP,LAX,2,50,46,44
1988,4,23,6,NW,DFW,MEM,1,8,35,104
2007,4,22,7,EV,ATL,ALB,3,21,17,132
1999,1,22,5,UA,DEN,IND,3,0,4,145
1995,9,15,5,US,CLT,SAT,2,7,5,161
1996,1,3,3,DL,CVG,PDX,3,77,76,283
1987,12,21,1,DL,TUL,SLC,2,16,29,158
1999,5,2,7,WN,HOU,STL,2,0,0,120
2000,6,18,7,DL,DFW,RNO,3,11,20,217
1995,12,26,2,DL,ATL,HOU,2,8,3,121
1991,7,15,1,UA,ORD,EWR,2,2,10,129
1987,12,21,1,DL,ORF,ATL,1,0,6,101
1993,12,28,2,HP,SAN,PHX,1,0,7,72
1992,3,21,6,NW,SAN,MSP,2,37,29,203
1996,5,1,3,US,CLT,PIT,1,3,0,76
1987,12,27,7,DL,ATL,DTW,0,54,39,87
1990,5,22,2,WN,DAL,HOU,2,0,0,55
2005,4,8,5,MQ,DFW,SPS,2,4,10,61
2000,7,29,6,UA,GSO,ORD,3,8,13,118
1992,7,16,4,AA,SFO,JFK,1,1,3,320
1995,6,10,6,DL,ATL,GSO,2,5,7,65
1996,9,20,5,WN,SJC,SNA,2,0,5,75
1997,12,6,6,DL,LGA,PBI,2,13,3,158
1998,11,9,1,WN,LAS,OAK,2,12,14,87
1997,3,6,4,DL,TPA,ATL,1,19,29,97
1992,9,24,4,US,CLT,SFO,2,20,28,330
2004,4,27,2,WN,SDF,MDW,1,0,2,62
1998,5,1,5,HP,PHX,SAN,1,7,18,76
1991,1,20,7,DL,DFW,SMF,3,2,6,234
1995,10,18,3,AA,DFW,PBI,3,11,2,146
1998,9,28,1,UA,LAX,OGG,1,4,13,323
2008,4,4,5,EV,ISP,ATL,3,0,0,161
1988,1,11,1,US,MHT,PIT,2,61,60,90
1992,8,13,4,US,CLT,PNS,2,13,24,101
1993,1,10,7,TW,OKC,STL,2,12,5,79
2006,12,7,4,WN,BNA,JAX,2,16,10,79
1995,10,11,3,TW,STL,TPA,2,42,25,129
1995,3,6,1,US,PIT,STL,3,25,76,161
1997,4,19,6,US,DCA,CLT,1,5,1,70
2000,8,12,6,TW,MSP,STL,2,19,16,91
2007,1,19,5,WN,MDW,CMH,3,46,46,65
2004,7,5,1,OO,SFO,MFR,2,36,31,65
1991,2,17,7,US,BDL,CLT,1,4,4,117
1989,2,25,6,AA,BNA,CLE,1,27,24,87
2006,8,6,7,WN,BWI,IND,2,3,3,100
1998,7,24,5,WN,SNA,OAK,2,8,0,67
2007,11,26,1,AA,LGA,DFW,2,41,29,223
1992,1,13,1,AA,LAX,BNA,2,0,20,253
1990,10,17,3,EA,ATL,HSV,2,0,5,53
2007,2,1,4,OH,BOS,RDU,3,84,102,160
1999,12,15,3,US,TRI,CLT,2,10,10,40
2005,10,9,7,EV,DHN,ATL,2,53,47,51
2004,10,23,6,US,PHL,DFW,1,0,0,221
1994,1,14,5,US,BWI,ALB,3,4,7,68
1997,6,24,2,UA,SAN,DEN,2,0,1,127
2005,4,10,7,WN,BWI,PHX,1,0,7,312
2005,7,19,2,HP,DEN,LAS,2,36,24,102
2007,1,28,7,NW,VPS,MEM,2,319,321,93
1997,10,2,4,US,BOS,BWI,1,0,3,86
1992,1,29,3,US,SMF,PIT,1,0,11,285
2008,7,21,1,OH,LGA,TPA,3,0,2,191
1995,2,11,6,CO,EWR,CLE,2,6,6,97
2000,4,23,7,NW,DTW,HPN,3,9,7,98
2003,10,31,5,UA,DEN,MSP,1,15,65,161
1989,3,15,3,TW,PDX,SEA,1,20,25,55
2003,2,2,7,WN,DAL,HOU,3,0,0,55
2000,7,10,1,UA,SEA,SFO,0,124,118,112
1991,11,17,7,AA,STL,ORD,1,5,3,72
2006,8,14,1,B6,FLL,JFK,1,0,7,167
2001,1,13,6,DL,FLL,BOS,1,1,14,208
2004,10,1,5,WN,MCO,BWI,3,35,25,120
2002,9,26,4,US,PIT,CLT,3,1,35,119
1991,8,20,2,US,DFW,PIT,2,25,22,155
2003,1,25,6,XE,MCI,IAH,2,120,108,106
1990,7,17,2,WN,SAT,HOU,2,0,0,45
2005,10,26,3,US,PIT,FLL,1,0,0,149
2004,1,5,1,FL,BWI,ATL,3,0,14,129
2006,6,18,7,AA,DFW,SLC,1,7,19,167
2002,10,3,4,CO,MSY,IAH,1,0,0,64
1992,3,20,5,DL,LAX,SFO,2,121,114,73
1992,1,31,5,WN,SAN,SFO,2,25,32,97
1998,5,5,2,DL,SDF,ATL,1,3,5,77
1996,1,18,4,UA,ORD,MKE,1,0,4,43
2007,11,25,7,OO,IAH,ORD,2,24,11,140
1990,3,16,5,UA,OAK,ORD,1,0,9,250
1995,4,30,7,DL,ATL,SJU,1,10,19,211
1994,8,9,2,HP,PHX,LAX,2,10,6,73
1989,5,25,4,AA,DFW,EWR,2,4,0,204
2006,6,8,4,US,JAX,DCA,3,43,47,106
2002,3,10,7,NW,MSP,PHX,2,18,23,210
1998,7,27,1,CO,IAH,TPA,1,7,22,141
2006,6,13,2,WN,OMA,STL,1,0,0,65
1988,10,7,5,CO,DEN,PHL,2,30,24,220
1997,3,11,2,AA,DFW,SLC,2,8,15,179
1992,11,29,7,US,LGA,SYR,3,11,6,57
1993,7,25,7,US,BWI,LGA,3,106,103,57
1998,11,9,1,WN,ABQ,LAX,2,0,8,128
1989,10,20,5,PA (1),ATL,JAX,3,0,10,75
1996,11,17,7,AA,DFW,TPA,3,91,75,117
2008,3,23,7,WN,LAS,MCI,2,11,1,160
1992,10,15,4,AA,BNA,BOS,3,0,3,146
1995,10,27,5,US,PIT,SFO,3,10,12,327
2006,5,12,5,AA,ORD,BWI,1,19,11,102
2007,4,26,4,DL,AUS,ATL,2,280,260,110
1995,7,16,7,UA,OAK,BUR,2,4,4,60
1995,11,8,3,WN,AUS,DAL,2,13,13,50
1998,11,23,1,TW,SEA,STL,0,14,7,213
1993,8,6,5,HP,JFK,PHX,2,6,2,306
1997,6,6,5,UA,SFO,LAS,2,0,1,82
2006,8,9,3,WN,OAK,SAN,1,14,13,84
2002,10,1,2,WN,LAS,RNO,3,5,5,75
2007,5,16,3,AS,SEA,SAN,3,6,7,163
1993,2,25,4,CO,ONT,IAH,1,2,27,205
1997,7,24,4,UA,SFO,PDX,3,52,47,88
2000,12,28,4,UA,BOI,DEN,2,23,9,92
1998,8,24,1,AA,ISP,ORD,1,1,22,157
2001,8,2,4,DL,ATL,BOS,1,8,15,157
2007,2,19,1,AS,SEA,SFO,2,35,23,114
1997,3,10,1,UA,MCO,ORD,1,56,53,166
1992,7,31,5,DL,CVG,MSY,1,3,13,136
1989,6,27,2,TW,STL,BDL,2,13,15,146
1998,7,21,2,WN,MDW,DTW,3,125,152,87
2008,9,12,5,AA,ATL,DFW,1,60,67,147
1987,11,26,4,TW,STL,ORD,1,2,14,77
2001,1,8,1,US,CRW,PIT,3,10,6,44
1997,7,28,1,US,PIT,RIC,2,8,9,64
2004,6,17,4,UA,ORD,BUF,3,22,48,127
2007,9,19,3,WN,OAK,SAN,1,5,0,85
2008,7,11,5,NW,MSP,ATL,3,85,127,195
1994,9,29,4,DL,SLC,ATL,2,9,2,193
1990,12,7,5,NW,MKE,SFO,1,1,22,278
1992,7,19,7,DL,BOS,BGR,3,4,18,63
1994,1,28,5,WN,SMF,SAN,2,7,0,73
2000,3,10,5,UA,ORD,MCI,2,2,2,84
2007,6,2,6,UA,DEN,GEG,3,11,4,130
2007,12,13,4,AA,MIA,DFW,3,0,0,190
1997,6,21,6,DL,PBI,ATL,2,17,38,126
1991,3,1,5,DL,ATL,MGM,3,32,33,50
1996,6,28,5,WN,TPA,FLL,2,12,18,61
1998,8,22,6,DL,ORD,ATL,1,3,4,116
1990,11,2,5,EA,ATL,STL,2,0,0,100
2008,6,16,1,AA,BNA,DFW,2,9,7,113
2000,6,27,2,WN,ALB,LAS,2,0,12,332
2006,9,29,5,AA,DFW,PHX,1,35,29,144
1997,4,20,7,AA,DFW,MIA,1,9,17,165
1995,12,22,5,DL,SLC,ANC,2,31,5,270
1990,9,25,2,TW,BNA,STL,3,3,6,66
1989,1,12,4,CO,EWR,ORD,1,50,65,150
1990,4,19,4,UA,SEA,LAX,3,2,12,155
2000,5,11,4,DL,LAS,ATL,1,5,6,228
1992,7,12,7,TW,STL,DCA,1,0,16,132
1996,6,17,1,AA,DFW,AMA,3,127,143,82
1991,10,19,6,AA,ORD,AUS,2,4,11,155
2003,11,2,7,WN,FLL,TPA,2,18,17,54
1999,7,29,4,WN,ONT,OAK,3,20,18,63
1990,9,6,4,US,EWR,BWI,3,1,16,69
2002,2,17,7,US,PNS,CLT,2,0,0,85
1989,12,12,2,AA,RDU,JAX,1,9,4,85
1995,3,31,5,DL,LAS,SLC,2,20,26,76
2001,12,4,2,UA,DEN,ONT,1,3,21,147
2004,2,16,1,WN,BUR,SJC,1,0,4,69
1999,12,19,7,WN,RNO,SJC,1,21,12,46
2007,3,17,6,NW,DTW,BUF,1,0,12,77
1988,10,17,1,US,PIT,PHL,2,27,33,63
2007,1,29,1,OO,SAN,LAX,2,0,0,50
2007,5,20,7,US,PHX,TPA,2,59,54,228
2001,1,30,2,WN,BWI,JAX,1,4,19,130
2008,9,16,2,OH,CVG,AUS,1,20,15,155
1999,11,7,7,WN,OKC,MCI,3,28,30,62
2002,2,16,6,DL,LGA,ATL,3,35,9,125
1994,2,24,4,US,PVD,PIT,1,26,29,103
1996,5,30,4,US,TPA,DCA,2,4,5,134
1997,6,21,6,UA,SDF,ORD,3,7,66,133
1993,5,1,6,UA,SAV,CHS,1,9,12,35
1994,9,20,2,AA,DFW,IAH,2,0,9,72
1989,7,22,6,NW,DTW,LAN,3,0,14,42
1997,7,9,3,AA,BNA,LAX,1,5,30,283
1992,12,29,2,HP,PHX,LGB,3,32,33,81
2005,8,14,7,WN,PHX,OAK,3,43,33,105
1997,5,16,5,HP,TUS,PHX,0,0,7,42
2006,12,1,5,AA,SFO,JFK,2,63,69,321
2003,5,24,6,US,BWI,PIT,1,23,12,51
2007,8,5,7,UA,DEN,SLC,2,152,150,83
2000,10,6,5,UA,DEN,ATL,2,23,7,152
2005,4,11,1,WN,SAN,OAK,3,0,0,85
2005,11,30,3,OO,BFL,SFO,2,39,36,68
1993,7,19,1,US,BOS,PHL,1,0,12,92
2004,9,12,7,OO,SYR,ORD,1,5,46,174
1998,3,6,5,HP,PHX,LAX,3,72,92,100
1989,1,2,1,WN,SAN,SFO,3,181,171,75
