Gender,Year,Major,GPA,FamilyIncome,Age,NoOfCourses,Country,Id
M,2,PHY,1.2,100000,21,4,FRANCE,88
F,4,STAT,3.2,60000,22,4,JPN,89
M,2,STAT,1.2,100000,21,4,IND,90
M,3,CS,3.8,80000,21,4,AUS,91
M,2,CHEM,1,70000,22,6,SPAIN,92
M,1,ME,1,105000,19,5,CANADA,93
M,4,PHY,3.4,75000,22,3,BRAZIL,94
F,2,ECE,3.2,130000,22,2,GER,95
F,2,ECE,1.7999999999999998,285000,21,3,KOR,96
F,3,MATH,2.2,320000,21,4,BRAZIL,97
F,2,MATH,1.2,300000,20,4,AUS,98
F,4,CHEM,3.2,60000,22,4,RUSSIAN,99
F,3,ECE,1,335000,23,5,KOR,100
F,2,ECE,4,85000,21,5,CHN,101
F,3,ME,1.7999999999999998,50000,23,6,FRANCE,102
M,4,ME,3.6,90000,24,2,ENG,103
F,2,CS,2.4,130000,20,2,THAILAND,104
F,1,ECE,2.8,105000,21,5,BRAZIL,105
F,1,CHEM,1,150000,21,2,THAILAND,106
F,3,STAT,3.6,95000,21,3,CHN,107
M,2,STAT,1,85000,21,5,BRAZIL,108
F,3,CHEM,1.7999999999999998,50000,21,6,RUSSIAN,109
F,3,STAT,2.4,95000,22,3,RUSSIAN,110
F,3,STAT,1.7999999999999998,50000,23,6,ENG,111
M,1,CHEM,1,150000,19,2,RUSSIAN,112
F,1,ECE,3.1999999999999997,135000,19,3,THAILAND,113
F,1,CHEM,1,135000,21,3,FRANCE,114
F,1,ECE,3.0,120000,21,4,THAILAND,115
M,2,MATH,1,330000,20,6,JPN,116
M,4,MATH,3.4,325000,22,3,IND,117
F,4,ECE,2.4000000000000004,60000,23,4,GER,118
F,3,CHEM,2.6,110000,23,2,JPN,119
F,3,MATH,2.0,335000,23,5,AUS,120
F,1,PHY,1,90000,20,6,AUS,121
F,1,PHY,1,135000,20,3,THAILAND,122
F,3,PHY,1.7999999999999998,50000,23,6,CANADA,123
M,3,CHEM,2.4,95000,21,3,US,124
M,1,STAT,1,105000,19,5,THAILAND,125
F,1,MATH,2.8,310000,20,6,KOR,126
F,3,CHEM,1,335000,22,5,KOR,127
F,2,MATH,1,330000,22,6,FRANCE,128
F,1,PHY,1,150000,21,2,ENG,129
M,2,CS,2.8,100000,21,4,BRAZIL,130
F,3,PHY,1.7999999999999998,50000,22,6,ENG,131
M,2,STAT,1.7999999999999998,270000,22,2,KOR,132
F,1,PHY,1,90000,20,6,FRANCE,133
M,2,STAT,1.6,130000,22,2,THAILAND,134
F,2,CHEM,1,85000,21,5,AUS,135
F,1,STAT,2.8,265000,20,3,KOR,136
F,1,PHY,1,105000,20,5,JPN,137
F,1,ECE,2.8,105000,20,5,CANADA,138
F,4,ECE,2.2,45000,23,5,FRANCE,139
M,3,ECE,2.1999999999999997,50000,21,6,THAILAND,140
M,4,MATH,4,355000,23,5,CHN,141
M,3,MATH,1.7999999999999998,350000,22,6,SPAIN,142
M,4,PHY,3.2,60000,22,4,IND,143
M,2,ECE,1.7999999999999998,315000,21,5,KOR,144
M,4,ECE,2.6,75000,22,3,ENG,145
F,1,CS,1.6,135000,21,3,CHN,146
M,1,ECE,3.0,120000,20,4,AUS,147
M,1,ECE,2.8,105000,20,5,BRAZIL,148
M,4,PHY,3.0,45000,24,5,THAILAND,149
M,4,CHEM,3.6,90000,22,2,RUSSIAN,150
F,1,CS,1.6,135000,21,3,FRANCE,151
F,1,ME,1,135000,21,3,FRANCE,152
M,3,ECE,3.0,110000,22,2,THAILAND,153
M,3,ECE,2.4,65000,23,5,CANADA,154
F,1,MATH,1,295000,21,5,GER,155
M,1,CS,1.8,120000,19,4,JPN,156
M,4,CHEM,4,45000,24,5,CHN,157
M,3,CS,3.4,110000,22,2,BRAZIL,158
F,2,CS,1.7999999999999998,315000,20,5,KOR,159
M,4,PHY,1,340000,22,4,KOR,160
F,2,ECE,2.4,70000,21,6,US,161
F,3,STAT,2.0,65000,22,5,AUS,162
F,2,ME,1.4,115000,21,3,CANADA,163
F,2,CS,2.6,115000,22,3,ENG,164
F,3,CS,3.6,95000,23,3,THAILAND,165
F,3,PHY,2.0,65000,22,5,SPAIN,166
F,3,PHY,4.0,65000,23,5,CHN,167
M,2,CHEM,1.6,130000,21,2,SPAIN,168
F,1,ECE,3.1999999999999997,135000,20,3,THAILAND,169
M,1,PHY,1,120000,20,4,AUS,170
M,1,MATH,1,295000,20,5,IND,171
F,4,CHEM,2.8,30000,23,6,GER,172
F,3,PHY,2.6,110000,22,2,CANADA,173
M,4,ECE,2.0,30000,23,6,JPN,174
M,3,STAT,2.4,95000,23,3,IND,175
F,2,MATH,1,315000,20,5,US,176
F,4,ECE,2.8000000000000003,90000,23,2,GER,177
F,2,ECE,2.6,85000,20,5,JPN,178
F,2,ME,1.2,100000,22,4,BRAZIL,179
M,1,ECE,2.8,105000,19,5,ENG,180
F,1,STAT,2.0,105000,21,5,CHN,181
M,3,CS,3.4,110000,23,2,ENG,182
F,1,CS,1.8,120000,21,4,CHN,183
M,4,ME,2.8,30000,24,6,AUS,184
F,4,ECE,2.6,75000,24,3,BRAZIL,185
F,3,CHEM,2.2,80000,23,4,IND,186
F,4,ME,2.8,30000,23,6,CANADA,187
M,2,ME,1.6,130000,21,2,AUS,188
M,4,ECE,2.2,45000,22,5,AUS,189
F,2,CS,3.2,70000,22,6,JPN,190
F,2,MATH,1.6,270000,21,2,CANADA,191
F,3,ME,2.0,65000,23,5,THAILAND,192
F,3,ME,2.2,80000,22,4,US,193
F,2,CHEM,1.2,100000,21,4,SPAIN,194
F,3,CHEM,2.0,65000,21,5,US,195
F,3,MATH,2.4,305000,23,3,RUSSIAN,196
M,4,PHY,3.0,45000,23,5,IND,197
M,3,ME,2.2,80000,21,4,CANADA,198
M,3,CS,3.4,110000,21,2,RUSSIAN,199
M,4,STAT,3.4,75000,24,3,JPN,200
F,4,MATH,3.4,325000,23,3,FRANCE,201
F,1,MATH,1.6,265000,19,3,CHN,202
F,4,ME,3.6,90000,24,2,IND,203
F,2,MATH,1,330000,20,6,US,204
M,4,STAT,3.4,75000,23,3,JPN,205
F,3,STAT,2.0,65000,23,5,IND,206
M,4,STAT,3.0,45000,23,5,ENG,207
M,2,ME,1.2,100000,21,4,IND,208
F,3,CHEM,2.2,80000,23,4,THAILAND,209
F,1,ECE,3.4,150000,21,2,AUS,210
F,3,ME,2.0,65000,21,5,AUS,211
F,3,STAT,1.7999999999999998,50000,22,6,SPAIN,212
F,4,CHEM,3.6,90000,22,2,JPN,213
M,2,ME,1.6,130000,21,2,GER,214
M,1,CHEM,1.8,120000,20,4,CHN,215
F,1,CS,1.8,120000,20,4,AUS,216
F,4,CHEM,2.8,30000,24,6,RUSSIAN,217
F,1,ME,1,90000,21,6,THAILAND,218
M,4,CS,4,45000,24,5,AUS,219
M,3,PHY,1.7999999999999998,50000,23,6,CANADA,220
M,1,CHEM,1,150000,19,2,IND,221
F,2,CHEM,1,70000,20,6,ENG,222
M,1,STAT,1,120000,19,4,RUSSIAN,223
F,1,CHEM,1,105000,19,5,THAILAND,224
M,4,MATH,3.0,355000,24,5,RUSSIAN,225
M,4,MATH,2.8,370000,24,6,AUS,226
F,4,CS,4,45000,24,5,BRAZIL,227
M,2,ME,1,70000,20,6,CANADA,228
F,2,MATH,3.2,330000,21,6,CHN,229
M,1,CS,1.6,135000,21,3,JPN,230
M,4,ME,2.8,30000,23,6,IND,231
M,3,STAT,2.2,80000,23,4,SPAIN,232
F,4,PHY,3.0,45000,24,5,GER,233
F,4,ME,2.8,30000,23,6,FRANCE,234
F,3,PHY,2.2,80000,23,4,JPN,235
F,2,CHEM,1,85000,20,5,RUSSIAN,236
F,4,ECE,2.4000000000000004,60000,24,4,ENG,237
M,2,PHY,1.2,100000,21,4,AUS,238
M,4,CHEM,3.4,75000,22,3,CANADA,239
M,3,ME,1.7999999999999998,50000,21,6,AUS,240
F,4,ME,3.6,90000,22,2,CANADA,241
M,4,PHY,3.6,90000,22,2,SPAIN,242
M,3,ME,1.7999999999999998,50000,22,6,ENG,243
F,2,CHEM,1.6,130000,20,2,FRANCE,244
F,2,PHY,2.8,100000,21,4,CHN,245
F,4,CHEM,2.8,30000,24,6,JPN,246
M,3,PHY,2.6,110000,22,2,RUSSIAN,247
F,2,ME,1.6,130000,21,2,US,248
F,2,CHEM,1.4,115000,22,3,ENG,249
F,1,CHEM,2.8,265000,20,3,KOR,250
F,1,CHEM,1.4,150000,21,2,CHN,251
M,4,CS,4,60000,22,4,US,252
M,4,ME,3.2,60000,24,4,BRAZIL,253
M,2,ME,1.6,130000,21,2,BRAZIL,254
M,3,CS,3.4,110000,21,2,AUS,255
M,3,PHY,2.2,80000,23,4,BRAZIL,256
M,4,STAT,2.8,30000,24,6,CANADA,257
F,4,CHEM,3.0,45000,24,5,US,258
F,1,PHY,1,120000,20,4,GER,259
M,3,ME,2.6,110000,22,2,US,260
M,2,STAT,1,70000,21,6,US,261
F,3,CS,3.8,80000,21,4,FRANCE,262
M,3,PHY,2.0,65000,23,5,SPAIN,263
M,2,CS,1.7999999999999998,315000,22,5,KOR,264
M,1,STAT,1,90000,19,6,ENG,265
F,4,STAT,4,45000,24,5,CHN,266
M,4,ECE,2.8000000000000003,90000,22,2,THAILAND,267
F,1,CS,1.4,150000,20,2,AUS,268
F,2,PHY,1.4,115000,22,3,RUSSIAN,269
M,2,PHY,1.4,115000,20,3,BRAZIL,270
F,2,STAT,1,70000,21,6,SPAIN,271
M,4,CS,4,45000,23,5,THAILAND,272
F,2,CHEM,1.2,100000,22,4,ENG,273
F,4,CS,4,30000,24,6,SPAIN,274
F,3,CHEM,2.2,80000,22,4,RUSSIAN,275
M,2,STAT,1,70000,20,6,THAILAND,276
F,2,ECE,3.2,130000,21,2,JPN,277
M,3,MATH,2.4,305000,22,3,AUS,278
M,4,ECE,2.6,75000,23,3,FRANCE,279
M,4,ECE,2.0,30000,24,6,RUSSIAN,280
F,3,STAT,2.2,80000,22,4,BRAZIL,281
F,4,MATH,3.0,355000,22,5,SPAIN,282
F,1,PHY,1,120000,20,4,CANADA,283
M,1,STAT,1,150000,21,2,RUSSIAN,284
M,1,CHEM,1,90000,19,6,ENG,285
M,4,CS,4,45000,24,5,SPAIN,286
F,1,ECE,3.1999999999999997,135000,19,3,ENG,287
M,4,ECE,1,355000,22,5,KOR,288
M,2,STAT,1.6,130000,20,2,CANADA,289
F,3,STAT,2.0,65000,23,5,IND,290
F,1,CHEM,1.8,120000,19,4,CHN,291
F,1,CHEM,1,105000,20,5,JPN,292
F,2,CS,2.4,130000,22,2,BRAZIL,293
M,3,ECE,2.1999999999999997,50000,21,6,BRAZIL,294
M,4,MATH,3.6,310000,24,2,IND,295
M,1,CHEM,2.8,265000,19,3,KOR,296
M,4,MATH,3.2,340000,23,4,THAILAND,297
M,4,MATH,2.8,370000,24,6,CANADA,298
M,3,ECE,2.1999999999999997,50000,21,6,BRAZIL,299
F,2,ECE,2.8,100000,22,4,CANADA,300
F,1,PHY,1,120000,21,4,AUS,301
F,3,ECE,3.0,110000,21,2,FRANCE,302
F,2,ME,1.7999999999999998,300000,20,4,KOR,303
F,2,PHY,1,85000,21,5,ENG,304
F,1,CHEM,1,135000,20,3,FRANCE,305
M,4,ECE,2.8000000000000003,90000,23,2,THAILAND,306
M,3,PHY,2.6,110000,21,2,RUSSIAN,307
F,4,STAT,3.4,75000,24,3,AUS,308
M,3,CS,4.0,65000,22,5,IND,309
F,1,ECE,3.1999999999999997,135000,20,3,GER,310
M,4,STAT,3.0,45000,22,5,AUS,311
F,1,STAT,1,120000,19,4,SPAIN,312
F,1,MATH,1,280000,21,4,RUSSIAN,313
M,1,PHY,1,105000,21,5,ENG,314
M,4,ME,3.4,75000,22,3,RUSSIAN,315
F,1,ECE,3.0,120000,19,4,JPN,316
M,2,ECE,2.8,100000,20,4,RUSSIAN,317
M,3,MATH,2.4,305000,23,3,GER,318
F,4,ME,3.2,60000,23,4,FRANCE,319
M,3,PHY,2.4,95000,22,3,FRANCE,320
F,3,STAT,3.6,95000,21,3,CHN,321
F,2,PHY,1.4,115000,21,3,SPAIN,322
M,4,ME,3.4,75000,24,3,RUSSIAN,323
M,3,CHEM,1.7999999999999998,50000,22,6,JPN,324
F,4,ME,3.4,75000,22,3,BRAZIL,325
M,3,ME,2.6,110000,23,2,SPAIN,326
M,2,ME,1.6,130000,22,2,GER,327
F,3,PHY,2.0,65000,21,5,ENG,328
F,1,PHY,1,150000,19,2,JPN,329
M,3,MATH,1,335000,22,5,KOR,330
M,1,STAT,1,120000,19,4,GER,331
M,1,PHY,1,90000,19,6,GER,332
M,4,STAT,2.8,30000,22,6,THAILAND,333
F,3,PHY,2.2,80000,23,4,AUS,334
M,3,ECE,2.1999999999999997,50000,23,6,BRAZIL,335
F,3,ECE,3.0,110000,21,2,IND,336
F,4,PHY,4,75000,24,3,CHN,337
F,4,CS,4,45000,23,5,BRAZIL,338
M,4,MATH,3.4,325000,23,3,US,339
F,4,MATH,2.8,370000,23,6,AUS,340
M,3,PHY,2.2,80000,22,4,BRAZIL,341
F,1,ME,2.8,310000,21,6,KOR,342
F,1,CS,2.0,105000,21,5,JPN,343
M,2,PHY,1.6,130000,22,2,SPAIN,344
M,3,STAT,2.2,80000,21,4,RUSSIAN,345
F,1,STAT,1,120000,19,4,AUS,346
M,1,ECE,3.0,120000,19,4,IND,347
M,3,PHY,2.4,95000,22,3,IND,348
M,4,CS,4,75000,23,3,ENG,349
F,3,CS,3.8,80000,22,4,CHN,350
F,2,CS,3.0,85000,21,5,GER,351
M,3,STAT,2.2,80000,22,4,SPAIN,352
F,3,PHY,3.6,95000,21,3,CHN,353
M,3,ME,1.7999999999999998,50000,21,6,US,354
M,3,MATH,2.6,290000,22,2,JPN,355
F,4,CS,4,60000,22,4,IND,356
F,3,ECE,3.8,110000,23,2,CHN,357
F,2,ECE,3.2,130000,20,2,BRAZIL,358
F,4,PHY,3.0,45000,22,5,AUS,359
M,3,ME,3.8,80000,22,4,CHN,360
M,1,ME,1,150000,19,2,ENG,361
M,2,STAT,1.4,115000,21,3,US,362
F,3,STAT,2.4,95000,22,3,RUSSIAN,363
M,3,ME,2.6,110000,22,2,GER,364
F,2,CS,2.6,115000,21,3,RUSSIAN,365
F,2,PHY,1,85000,21,5,BRAZIL,366
M,1,CHEM,1,105000,19,5,GER,367
F,3,CS,3.6,95000,23,3,BRAZIL,368
F,2,CHEM,1,85000,20,5,BRAZIL,369
F,1,CHEM,1,90000,19,6,CANADA,370
F,1,STAT,1,135000,19,3,CANADA,371
F,4,ME,2.8,30000,22,6,FRANCE,372
M,2,MATH,1.2,300000,22,4,SPAIN,373
F,3,MATH,1.7999999999999998,350000,22,6,FRANCE,374
M,3,STAT,2.6,110000,21,2,AUS,375
M,2,CHEM,1.4,115000,20,3,SPAIN,376
F,4,MATH,4,355000,24,5,CHN,377
F,3,CHEM,1.7999999999999998,50000,22,6,US,378
M,1,MATH,1,250000,21,2,THAILAND,379
F,2,ME,1.4,115000,20,3,IND,380
F,2,ECE,3.2,130000,20,2,AUS,381
F,1,CHEM,1,150000,19,2,FRANCE,382
F,1,PHY,1,105000,20,5,IND,383
F,2,CHEM,1,85000,20,5,ENG,384
F,2,ME,2.6,115000,20,3,CHN,385
M,1,ECE,3.1999999999999997,135000,20,3,IND,386
M,4,CHEM,3.6,90000,24,2,US,387
M,2,ECE,3.2,130000,21,2,JPN,388
M,3,ME,2.2,80000,22,4,GER,389
F,2,CHEM,1.2,100000,20,4,JPN,390
M,3,ME,1.7999999999999998,50000,23,6,BRAZIL,391
F,4,CS,4,60000,23,4,US,392
F,4,CS,4,75000,23,3,BRAZIL,393
M,1,MATH,1,310000,20,6,GER,394
M,4,PHY,3.4,75000,22,3,RUSSIAN,395
F,1,CS,1.4,150000,20,2,SPAIN,396
F,4,MATH,4,340000,24,4,CHN,397
F,4,PHY,2.8,30000,24,6,ENG,398
M,1,PHY,1,120000,20,4,IND,399
F,1,STAT,1.8,120000,20,4,CHN,400
F,2,PHY,1.2,100000,21,4,IND,401
F,2,CS,3.0,85000,21,5,GER,402
F,4,STAT,1,355000,24,5,KOR,403
F,2,MATH,2.8,300000,22,4,CHN,404
M,1,CS,1.6,135000,21,3,AUS,405
F,2,STAT,1,70000,20,6,FRANCE,406
M,3,ME,2.0,65000,21,5,CANADA,407
F,2,ECE,3.2,130000,20,2,CANADA,408
F,2,MATH,1.4,285000,20,3,CANADA,409
M,1,PHY,1,135000,20,3,IND,410
M,3,STAT,2.6,110000,22,2,FRANCE,411
F,4,PHY,3.4,75000,22,3,SPAIN,412
F,3,STAT,2.6,110000,21,2,RUSSIAN,413
F,2,ME,1.4,115000,20,3,GER,414
M,2,STAT,1.6,130000,22,2,CANADA,415
M,2,PHY,1,85000,21,5,SPAIN,416
M,4,ECE,2.6,75000,24,3,AUS,417
M,4,ME,3.4,75000,23,3,SPAIN,418
F,3,ME,1.7999999999999998,50000,23,6,FRANCE,419
M,1,ME,1,120000,20,4,CANADA,420
F,3,STAT,2.0,65000,23,5,BRAZIL,421
F,4,CHEM,4,30000,23,6,CHN,422
F,2,STAT,1.2,100000,21,4,GER,423
F,2,MATH,1,330000,20,6,THAILAND,424
F,4,ECE,2.6,75000,24,3,CANADA,425
M,4,ME,3.2,60000,22,4,IND,426
M,3,STAT,1.7999999999999998,50000,21,6,CANADA,427
M,4,MATH,3.4,325000,24,3,RUSSIAN,428
M,2,ME,1,70000,22,6,US,429
M,1,CHEM,1,105000,19,5,SPAIN,430
F,2,CHEM,1.6,130000,20,2,IND,431
F,3,MATH,2.4,305000,23,3,GER,432
M,3,CHEM,4,50000,22,6,CHN,433
F,4,ECE,3.6,90000,23,2,CHN,434
M,4,CS,4,75000,24,3,IND,435
M,3,ECE,2.4,65000,23,5,ENG,436
F,3,MATH,2.4,305000,21,3,ENG,437
M,2,STAT,1.4,115000,20,3,THAILAND,438
M,2,STAT,1.6,130000,22,2,ENG,439
M,4,ECE,2.4000000000000004,60000,24,4,JPN,440
M,4,MATH,3.4,325000,24,3,BRAZIL,441
M,3,ME,2.0,65000,23,5,RUSSIAN,442
M,1,CS,1.8,120000,20,4,CANADA,443
M,3,STAT,1.7999999999999998,50000,23,6,AUS,444
M,3,STAT,2.6,110000,22,2,JPN,445
F,2,PHY,1.6,130000,20,2,GER,446
F,3,CHEM,1,350000,22,6,KOR,447
M,3,ME,2.6,110000,23,2,AUS,448
F,3,CHEM,1.7999999999999998,50000,23,6,BRAZIL,449
F,3,CHEM,2.2,80000,23,4,THAILAND,450
F,3,MATH,2.0,335000,21,5,CANADA,451
M,1,ECE,2.5999999999999996,90000,21,6,SPAIN,452
M,1,STAT,1,90000,19,6,RUSSIAN,453
M,2,STAT,1.2,100000,22,4,ENG,454
M,3,ECE,2.8,95000,23,3,CANADA,455
M,2,ECE,3.0,115000,22,3,JPN,456
M,3,STAT,1,290000,22,2,KOR,457
M,4,STAT,3.0,45000,22,5,THAILAND,458
F,2,CS,3.0,85000,21,5,RUSSIAN,459
F,2,CHEM,3.2,70000,21,6,CHN,460
M,3,STAT,2.4,95000,21,3,IND,461
M,2,PHY,1,85000,22,5,BRAZIL,462
M,1,CS,1.4,150000,19,2,RUSSIAN,463
M,2,ME,2.8,100000,22,4,CHN,464
M,1,PHY,1,120000,20,4,THAILAND,465
F,1,STAT,1,135000,20,3,IND,466
F,3,CHEM,2.2,80000,21,4,US,467
M,1,STAT,1,90000,19,6,THAILAND,468
F,3,PHY,2.2,80000,23,4,RUSSIAN,469
F,4,ME,3.4,75000,24,3,THAILAND,470
F,3,ECE,2.5999999999999996,80000,21,4,FRANCE,471
F,4,MATH,3.4,325000,22,3,ENG,472
F,2,CHEM,1.2,100000,20,4,BRAZIL,473
M,3,CS,4,50000,23,6,US,474
F,4,PHY,3.0,45000,22,5,BRAZIL,475
F,3,MATH,2.4,305000,22,3,CANADA,476
F,1,CHEM,1,105000,19,5,AUS,477
M,1,CS,1.6,135000,19,3,ENG,478
M,1,ECE,3.4,150000,21,2,AUS,479
M,1,CHEM,1.4,150000,20,2,CHN,480
M,1,MATH,1,295000,19,5,THAILAND,481
M,1,CHEM,1,120000,19,4,GER,482
F,2,STAT,1,85000,22,5,THAILAND,483
M,2,ME,1,70000,20,6,US,484
F,3,CHEM,2.6,110000,22,2,US,485
F,3,ECE,3.0,110000,23,2,GER,486
M,4,STAT,4,45000,22,5,CHN,487
M,4,STAT,2.8,30000,22,6,AUS,488
M,1,ME,2.8,295000,19,5,KOR,489
M,3,PHY,2.6,110000,23,2,AUS,490
F,3,CS,3.6,95000,22,3,RUSSIAN,491
F,4,STAT,3.0,45000,22,5,US,492
M,3,PHY,2.0,65000,22,5,IND,493
F,4,MATH,4,325000,24,3,CHN,494
F,1,PHY,1,120000,19,4,JPN,495
F,1,CHEM,1,150000,21,2,IND,496
M,3,ME,2.2,80000,21,4,GER,497
M,3,CS,4,50000,21,6,RUSSIAN,498
M,4,ME,3.6,90000,24,2,SPAIN,499
M,1,ECE,3.1999999999999997,135000,21,3,BRAZIL,500
F,2,CS,2.4,130000,21,2,THAILAND,501
F,1,MATH,1,295000,20,5,IND,502
M,3,MATH,2.2,320000,21,4,SPAIN,503
M,1,ECE,3.4,150000,19,2,THAILAND,504
F,2,ECE,2.6,85000,22,5,RUSSIAN,505
F,2,CS,2.8,100000,20,4,SPAIN,506
M,4,PHY,3.0,45000,22,5,JPN,507
M,2,MATH,1.4,285000,22,3,THAILAND,508
F,1,MATH,1,250000,19,2,ENG,509
M,2,ME,1.7999999999999998,315000,20,5,KOR,510
F,4,ECE,2.0,30000,22,6,AUS,511
M,2,MATH,1,330000,22,6,BRAZIL,512
F,2,ME,2.8,100000,22,4,CHN,513
M,3,MATH,1.7999999999999998,350000,22,6,SPAIN,514
M,3,ME,2.0,65000,23,5,CANADA,515
F,3,CS,3.6,95000,21,3,SPAIN,516
M,2,PHY,1.6,130000,22,2,US,517
M,2,ECE,2.8,100000,21,4,FRANCE,518
F,4,STAT,3.6,90000,22,2,THAILAND,519
M,3,STAT,2.6,110000,22,2,RUSSIAN,520
F,3,ECE,2.4,65000,21,5,CANADA,521
M,2,PHY,1.6,130000,20,2,THAILAND,522
F,1,PHY,1,90000,21,6,RUSSIAN,523
M,2,CHEM,1.2,100000,20,4,ENG,524
F,3,STAT,2.0,65000,22,5,US,525
M,3,CHEM,2.2,80000,21,4,CANADA,526
F,2,ME,1.4,115000,21,3,US,527
F,2,CS,1.7999999999999998,300000,21,4,KOR,528
M,2,STAT,1,85000,21,5,CANADA,529
M,1,MATH,1,280000,20,4,RUSSIAN,530
M,3,STAT,2.6,110000,22,2,RUSSIAN,531
M,1,MATH,1,295000,20,5,FRANCE,532
M,4,MATH,3.0,355000,24,5,THAILAND,533
F,2,MATH,1.6,270000,21,2,RUSSIAN,534
M,4,ME,1,355000,22,5,KOR,535
F,1,MATH,1,280000,21,4,SPAIN,536
F,2,ECE,2.8,100000,20,4,FRANCE,537
M,2,ECE,2.8,100000,22,4,CANADA,538
F,4,CS,4,45000,22,5,US,539
M,2,MATH,1.4,285000,21,3,FRANCE,540
