ID,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year
10508757,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,235,2,5,41,1182557,1867162,2016
10508987,THEFT,OVER $500,RESIDENCE-GARAGE,FALSE,FALSE,1932,19,32,7,1165898,1916813,2016
10509011,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1611,16,41,10,1129898,1941574,2016
10509016,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,FALSE,1831,18,42,8,1173680,1903250,2016
10509030,THEFT,$500 AND UNDER,VEHICLE-COMMERCIAL,FALSE,FALSE,2223,22,21,73,1170857,1841803,2016
10509071,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1932,19,32,7,1167657,1916082,2016
10509077,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,915,9,11,34,1175297,1883093,2016
10509078,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,821,8,14,58,1155409,1875700,2016
10509094,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,613,6,21,71,1171118,1848917,2016
10509096,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,122,1,2,32,1174166,1899864,2016
10509107,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,1513,15,29,25,1138636,1898830,2016
10509118,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2534,25,37,23,1147775,1908648,2016
10509137,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1923,19,44,6,1169265,1925099,2016
10509139,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,APARTMENT,FALSE,FALSE,2433,24,48,77,1167960,1941343,2016
10509159,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,511,5,9,49,1181016,1838453,2016
10509160,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,925,9,11,61,1172757,1877882,2016
10509162,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1733,17,33,21,1155113,1922566,2016
10509183,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,331,3,5,43,1192946,1860098,2016
10509210,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,725,7,17,67,1166850,1859459,2016
10509213,THEFT,$500 AND UNDER,CHA PARKING LOT/GROUNDS,FALSE,FALSE,533,5,9,54,1183339,1817078,2016
10509223,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,824,8,16,66,1158392,1865224,2016
10509235,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,MEDICAL/DENTAL OFFICE,FALSE,FALSE,811,8,23,56,1130469,1867268,2016
10509250,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,2213,22,21,73,1170219,1841786,2016
10509262,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1732,17,30,21,1150905,1923676,2016
10509271,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,FALSE,FALSE,112,1,42,32,1176814,1900257,2016
10509277,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,CHA PARKING LOT/GROUNDS,FALSE,FALSE,424,4,7,46,1199184,1847728,2016
10509285,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2511,25,29,19,1133897,1918956,2016
10509311,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,TRUE,914,9,11,60,1172771,1885463,2016
10509328,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,324,3,8,43,1188770,1857957,2016
10509336,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1611,16,41,10,1130812,1940757,2016
10509343,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,FALSE,FALSE,1832,18,42,8,1175628,1906198,2016
10509351,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,723,7,16,68,1171414,1862128,2016
10509362,THEFT,OVER $500,STREET,FALSE,FALSE,1834,18,42,8,1176302,1903096,2016
10509363,THEFT,OVER $500,RESIDENCE-GARAGE,FALSE,FALSE,1812,18,43,7,1169773,1914157,2016
10509413,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,912,9,11,59,1166183,1883676,2016
10509422,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,622,6,21,44,1175078,1849610,2016
10509410,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,2531,25,29,25,1136460,1911565,2016
10509462,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1422,14,26,23,1154577,1908468,2016
10509476,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1432,14,32,22,1161347,1914241,2016
10509481,CRIMINAL DAMAGE,TO PROPERTY,OTHER,FALSE,FALSE,922,9,14,58,1155737,1875838,2016
10509482,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,FALSE,1122,11,28,26,1150799,1899061,2016
10509486,THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,123,1,2,32,1176517,1895340,2016
10509488,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,FALSE,FALSE,111,1,42,32,1176904,1901295,2016
10509525,THEFT,OVER $500,STREET,FALSE,FALSE,121,1,27,28,1171824,1900768,2016
10509526,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1611,16,41,10,1131033,1939617,2016
10509558,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,512,5,9,49,1179094,1835637,2016
10509579,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,411,4,8,45,1187546,1852538,2016
10509582,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,SMALL RETAIL STORE,FALSE,FALSE,1032,10,12,30,1155512,1884264,2016
10509606,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,FALSE,FALSE,1623,16,45,11,1139224,1931886,2016
10509660,PUBLIC PEACE VIOLATION,BOMB THREAT,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,225,2,3,40,1177170,1870046,2016
10509694,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,611,6,21,71,1166410,1851364,2016
10509700,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,634,6,21,49,1176590,1843118,2016
10509702,THEFT,OVER $500,APARTMENT,FALSE,FALSE,624,6,6,69,1182201,1855156,2016
10509709,THEFT,$500 AND UNDER,CTA TRAIN,FALSE,FALSE,1023,10,25,31,1160686,1890209,2016
10509724,ASSAULT,SIMPLE,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,2032,20,47,3,1164323,1933390,2016
10509764,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,712,7,16,68,1170696,1864158,2016
10509769,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,2535,25,30,23,1150444,1909392,2016
10509770,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1634,16,38,15,1143575,1923186,2016
10509783,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,324,3,5,43,1186321,1857530,2016
10509784,THEFT,OVER $500,STREET,FALSE,FALSE,1611,16,41,10,1130189,1940933,2016
10509800,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2412,24,50,2,1154820,1943117,2016
10509460,CRIMINAL TRESPASS,TO LAND,DRUG STORE,TRUE,FALSE,333,3,5,43,1190777,1858141,2016
10509801,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2012,20,40,77,1164322,1937557,2016
10509473,THEFT,OVER $500,STREET,FALSE,FALSE,1824,18,42,8,1176265,1907589,2016
10509840,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1032,10,22,30,1152831,1884874,2016
10509474,STALKING,SIMPLE,STREET,FALSE,FALSE,822,8,14,63,1155977,1865327,2016
10509843,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,214,2,4,36,1183292,1879180,2016
10509477,THEFT,OVER $500,APARTMENT,FALSE,FALSE,1121,11,27,23,1153911,1904714,2016
10509846,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,FALSE,FALSE,2212,22,19,75,1163372,1830887,2016
10509478,ASSAULT,SIMPLE,APARTMENT,TRUE,TRUE,1112,11,27,23,1150924,1904654,2016
10509480,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,FALSE,321,3,5,42,1182702,1861192,2016
10509883,PUBLIC PEACE VIOLATION,FALSE FIRE ALARM,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2531,25,29,25,1138406,1909030,2016
10509896,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,412,4,8,45,1190325,1849409,2016
10509902,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,833,8,13,65,1148884,1858936,2016
10509920,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,825,8,16,66,1161408,1864461,2016
10509930,THEFT,FROM BUILDING,RESIDENCE-GARAGE,FALSE,FALSE,1634,16,38,15,1141431,1923782,2016
10509946,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1633,16,36,17,1135651,1920983,2016
10509988,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,TRUE,FALSE,1933,19,44,6,1169107,1919625,2016
10510002,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,1933,19,32,6,1166410,1921167,2016
10510006,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,811,8,23,56,1135620,1867749,2016
10510008,THEFT,$500 AND UNDER,COLLEGE/UNIVERSITY GROUNDS,FALSE,FALSE,111,1,42,32,1176585,1901750,2016
10510023,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,412,4,8,45,1190338,1848813,2016
10510201,BATTERY,SIMPLE,STREET,FALSE,FALSE,633,6,6,44,1183121,1846055,2016
10510028,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,915,9,11,60,1171863,1882071,2016
10510044,DECEPTIVE PRACTICE,BOGUS CHECK,BANK,FALSE,FALSE,931,9,20,61,1166467,1873388,2016
10510086,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,424,4,7,46,1199184,1847735,2016
10510107,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,2433,24,40,77,1163624,1941880,2016
10509487,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,FALSE,FALSE,2213,22,21,73,1168076,1841733,2016
10510115,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,FALSE,FALSE,1712,17,40,13,1153730,1936013,2016
10510146,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,FALSE,1523,15,28,25,1139441,1901703,2016
10510187,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,TRUE,FALSE,2533,25,37,25,1141622,1910145,2016
10510207,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,1833,18,42,8,1176466,1907032,2016
10510216,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,1024,10,24,30,1155039,1889026,2016
10510229,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1235,12,25,31,1170718,1891113,2016
10510426,THEFT,PURSE-SNATCHING,BAR OR TAVERN,FALSE,FALSE,1924,19,44,6,1170308,1923273,2016
10510600,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,623,6,6,44,1179410,1852394,2016
10510660,THEFT,FROM BUILDING,ATHLETIC CLUB,FALSE,FALSE,1934,19,44,6,1171402,1919138,2016
10510662,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1424,14,1,24,1162452,1909424,2016
10510771,THEFT,OVER $500,APARTMENT,FALSE,FALSE,332,3,5,43,1188363,1860651,2016
10510864,BATTERY,SIMPLE,OTHER,FALSE,FALSE,131,1,2,33,1177485,1892305,2016
10510936,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,223,2,3,38,1180055,1873293,2016
10511141,CRIMINAL DAMAGE,TO VEHICLE,SPORTS ARENA/STADIUM,FALSE,FALSE,2223,22,21,73,1174222,1840563,2016
10511194,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1933,19,44,6,1169596,1921441,2016
10511221,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1724,17,33,14,1154500,1929070,2016
10511249,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,TRUE,712,7,16,68,1170978,1865954,2016
10511336,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,FALSE,FALSE,1814,18,43,7,1173986,1913691,2016
10511361,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER,FALSE,FALSE,132,1,2,33,1178756,1891402,2016
10511443,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1411,14,35,22,1156925,1917430,2016
10511493,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1523,15,28,25,1141195,1902044,2016
10511513,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1214,12,27,28,1169100,1901749,2016
10511515,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,1924,19,44,6,1169310,1923616,2016
10511516,THEFT,FROM BUILDING,DRUG STORE,FALSE,FALSE,1222,12,28,27,1155397,1899849,2016
10511522,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,FALSE,FALSE,1631,16,36,17,1121837,1921147,2016
10511543,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,2433,24,48,77,1167747,1940929,2016
10511654,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,232,2,20,40,1178617,1865611,2016
10511697,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,TRUE,1831,18,42,8,1172883,1904116,2016
10512013,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,1632,16,38,17,1131814,1925542,2016
10509509,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,OTHER,FALSE,FALSE,1231,12,2,28,1164782,1896486,2016
10509510,CRIMINAL TRESPASS,TO LAND,OTHER,TRUE,FALSE,332,3,5,43,1188588,1859566,2016
10509515,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,2223,22,21,73,1174958,1840580,2016
10512082,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,132,1,2,33,1177540,1890161,2016
10512232,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,FALSE,FALSE,2432,24,40,1,1165070,1944128,2016
10512295,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,411,4,8,45,1186568,1853360,2016
10512308,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,TRUE,715,7,15,67,1165442,1865561,2016
10512570,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,FALSE,FALSE,832,8,18,66,1162537,1857540,2016
10512605,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,1733,17,33,16,1153705,1925357,2016
10509532,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,TRUE,1225,12,2,28,1162659,1898621,2016
10512841,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,FALSE,FALSE,312,3,20,42,1180045,1861769,2016
10509533,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,611,6,21,71,1167071,1851447,2016
10513298,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,1632,16,36,17,1129411,1924029,2016
10513481,BURGLARY,UNLAWFUL ENTRY,OTHER,FALSE,FALSE,1122,11,27,23,1151310,1902714,2016
10513530,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,FALSE,FALSE,823,8,15,66,1155146,1862987,2016
10513537,THEFT,OVER $500,PARK PROPERTY,FALSE,FALSE,422,4,7,46,1193875,1851074,2016
10514462,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,334,3,7,43,,,2015
10515115,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ATM (AUTOMATIC TELLER MACHINE),FALSE,FALSE,614,6,21,71,,,2016
10515155,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,313,3,20,42,,,2016
10515175,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,1124,11,28,27,,,2015
10515182,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,1421,14,35,22,,,2016
10515257,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1934,19,44,6,,,2016
10515292,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2533,25,37,23,,,2016
10515294,OBSCENITY,SALE/DIST OBSCENE MAT TO MINOR,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,1915,19,46,3,,,2016
10515309,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,413,4,8,47,,,2016
10515355,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,FALSE,FALSE,935,9,3,37,1175550,1868625,2016
10515417,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,523,5,34,53,,,2016
10515434,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,1023,10,12,30,,,2016
10515453,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,FALSE,1724,17,33,14,,,2016
10515539,THEFT,OVER $500,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,722,7,6,68,,,2016
10515629,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,FALSE,1611,16,41,9,,,2016
10515675,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1834,18,42,8,,,2016
10515688,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,1032,10,22,30,,,2016
10515761,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,1834,18,42,8,,,2016
10515771,KIDNAPPING,CHILD ABDUCTION/STRANGER,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,931,9,16,61,,,2016
10516026,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1423,14,26,24,,,2016
10516030,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1422,14,26,23,,,2016
10516273,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,FALSE,FALSE,513,5,10,51,,,2016
10516300,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,FALSE,622,6,21,71,,,2016
22451,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,835,8,18,66,1160663,1855290,2016
22452,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1533,15,28,25,1143598,1899211,2016
10508660,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,934,9,16,61,1167130,1868260,2016
10508667,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,FALSE,FALSE,725,7,17,67,1167495,1860032,2016
10508668,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1134,11,24,27,1154249,1896836,2016
10508673,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,821,8,14,58,1155749,1873296,2016
10508676,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,TRUE,FALSE,523,5,9,53,1174204,1820662,2016
10508677,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,533,5,9,54,1182215,1819214,2016
10508686,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,421,4,7,43,1194390,1853738,2016
10508689,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,724,7,17,67,1168837,1859459,2016
10508691,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,914,9,11,60,1173515,1886698,2016
10508706,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1213,12,27,24,1166714,1906119,2016
10508707,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,APARTMENT,FALSE,FALSE,1513,15,29,25,1136741,1895397,2016
10077106,ASSAULT,SIMPLE,APARTMENT,TRUE,FALSE,1933,19,44,6,1169640,1921442,2015
10301916,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,TRUE,TRUE,2511,25,36,19,1134262,1919947,2015
10378401,ROBBERY,AGGRAVATED,BANK,TRUE,FALSE,234,2,4,41,1185239,1870376,2016
10384630,ROBBERY,AGGRAVATED,BANK,TRUE,FALSE,2013,20,48,77,1167231,1939519,2016
10391121,ROBBERY,AGGRAVATED,BANK,TRUE,FALSE,2422,24,49,1,1163020,1950346,2016
10404916,ROBBERY,AGGRAVATED,BANK,TRUE,FALSE,2412,24,50,2,1161864,1944903,2016
10417926,ROBBERY,AGGRAVATED,BANK,TRUE,FALSE,2411,24,50,2,1159045,1946558,2016
10433096,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,TRUE,FALSE,2512,25,29,19,,,2012
10433124,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,TRUE,FALSE,2512,25,29,19,,,2012
10434704,ROBBERY,AGGRAVATED,BANK,TRUE,FALSE,234,2,4,41,1186659,1870409,2016
10437374,OTHER OFFENSE,OTHER WEAPONS VIOLATION,STREET,FALSE,FALSE,1712,17,39,14,1150469,1933641,2016
10448396,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1024,10,24,29,1153729,1890276,2016
10453021,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,2532,25,37,25,1139460,1911110,2016
10454281,BURGLARY,FORCIBLE ENTRY,VACANT LOT/LAND,FALSE,FALSE,2223,22,21,71,1173833,1846882,2016
10457487,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,2532,25,37,25,,,2016
10482650,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,STREET,TRUE,FALSE,634,6,6,49,1177949,1842478,2016
10489411,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,GAS STATION,TRUE,FALSE,1132,11,24,26,1149797,1897617,2016
10509540,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,934,9,20,61,1170742,1870351,2016
10489796,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,POLICE FACILITY/VEH PARKING LOT,TRUE,FALSE,225,2,3,37,1175826,1871120,2016
10490124,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,TRUE,FALSE,323,3,6,69,,,2016
10495378,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VACANT LOT/LAND,TRUE,FALSE,1021,10,24,29,1154286,1892167,2016
10497151,ASSAULT,AGG PO HANDS NO/MIN INJURY,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,1034,10,28,30,1159029,1889294,2016
10509543,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,323,3,6,69,1177959,1857714,2016
10498114,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,211,2,3,35,1176725,1881799,2016
10498554,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,531,5,9,50,1183356,1831503,2016
10498701,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,STREET,TRUE,FALSE,215,2,3,38,1178930,1873923,2016
